s	t	LFC	p.value
YLR442C	YLR157C.A	-2.06896205905	7.36524568454e-10
YBR083W	YLR157C.A	-2.08578801189	5.23242823552e-10
YPL254W	YLR157C.A	-3.12975187238	3.03089984969e-20
YNL236W	YLR157C.A	-4.79008970672	2.2436025545e-39
YOR290C	YLR157C.A	-5.21866030986	2.59630114107e-44
YBR289W	YLR157C.A	-4.58943691206	4.99908890148e-37
YHL025W	YLR157C.A	-5.76282234766	1.71208671894e-50
YOL148C	YLR157C.A	-4.82534340906	8.96916313509e-40
YJL176C	YLR157C.A	-5.4260044344	1.14914093061e-46
YCR084C	YLR157C.A	-4.30397042626	8.9027461939e-43
YDR392W	YLR157C.A	-2.40821508788	0.000226819417727
YLR176C	YML058W.A	7.61866231235	8.90485059748e-126
YJL127C	YML058W.A	2.5943583656	7.10428295834e-40
YJL176C	YML058W.A	4.77645835492	2.10766056548e-82
YCR084C	YML058W.A	3.550563193	8.30784593072e-72
YER040W	YML058W.A	3.95783841778	4.22729127594e-16
YOR358W	YML058W.A	2.50733115862	3.79275096963e-12
YPL129W	YML058W.A	4.28395322985	8.40918598987e-17
YNL027W	YMR316W	-2.02151771586	2.41036356847e-07
YIL036W	YNL301C	-2.05234022088	1.80734205561e-39
YPL075W	YNL301C	-2.11446338663	3.06332916434e-08
YNL216W	YNL301C	-2.21177197691	1.81597918698e-08
YDL042C	YNL337W	2.17751994436	3.9753980738e-61
YPL254W	YBR093C	-2.71118597335	8.88730995659e-52
YOR290C	YBR093C	-2.13905549791	1.39268128275e-37
YOL148C	YBR093C	-3.14168119767	4.47223471984e-62
YJL176C	YBR093C	-2.32427504447	3.10118885291e-42
YIL036W	YBR067C	-2.58140641618	1.7887400918e-33
YOR290C	YBR067C	-2.73437009796	1.91369261376e-36
YBR289W	YBR067C	-2.15318328446	3.1821537065e-25
YHL025W	YBR067C	-2.04476738013	3.43675988938e-23
YGL073W	YBR067C	2.05393394764	7.51900625683e-06
YIL084C	YDR098C.A	-3.08582378315	1.04989807505e-20
YDL042C	YDR098C.A	-3.90905813368	1.79468108621e-30
YLR442C	YDR098C.A	-2.1438832199	6.42098332244e-11
YBR083W	YDR098C.A	-2.39443550944	2.3730506277e-13
YPL254W	YDR098C.A	-2.98129751798	2.83809652919e-19
YNL236W	YDR098C.A	-4.42675192245	3.68857651419e-36
YOR290C	YDR098C.A	-4.63516838148	1.24316666805e-38
YBR289W	YDR098C.A	-3.89915159052	7.36371094213e-30
YHL025W	YDR098C.A	-4.70539877518	1.79107195675e-39
YOL148C	YDR098C.A	-4.33000976211	5.27682356232e-35
YJL176C	YDR098C.A	-4.2257892573	9.357763749e-34
YCR084C	YDR098C.A	-3.79881976493	7.01678783327e-37
YDR392W	YDR098C.A	-2.04855060411	0.000198715065357
YPL049C	YDR461W	-2.2935654016	6.99675878236e-22
YDL020C	YDR461W	-2.20245814719	3.37513974699e-20
YIL084C	YDR461W	-3.51844574598	5.88058492273e-42
YLR403W	YDR461W	2.66823142453	5.76408204171e-28
YOL004W	YDR461W	-2.83004743239	2.95389831382e-39
YDL042C	YDR461W	-2.97953756254	3.71329085982e-33
YIL036W	YDR461W	-2.06968579395	4.74714957949e-18
YPL254W	YDR461W	-2.51533165563	5.01188690215e-25
YOL148C	YDR461W	-2.69137684671	7.04955179539e-28
YJL176C	YDR461W	-2.1202287482	8.07310782647e-19
YDR421W	YDR461W	2.11285755938	2.13519449799e-09
YOR028C	YDR461W	2.07055006648	3.0778856687e-09
YPL177C	YDR461W	2.02188996376	4.71752624569e-09
YDR363W	YDR461W	2.33393448618	3.42181291776e-10
YOL051W	YDR461W	2.02006972449	4.79347578547e-09
YPL248C	YDR461W	2.19404644153	1.07118166959e-09
YEL009C	YDR461W	2.05215905601	3.61641600313e-09
YOR032C	YDR461W	2.26808508844	1.7767129555e-10
YOR363C	YDR461W	2.46923410863	3.58829841389e-11
YPL133C	YDR461W	2.02928682932	1.40020093961e-09
YOR191W	YDR461W	2.26491181249	1.8236680082e-10
YHR206W	YDR461W	2.00866434679	1.68643518682e-09
YBR240C	YDR461W	2.15784577392	4.52176909233e-10
YOR344C	YDR461W	2.18239208578	3.65515117708e-10
YNL216W	YGR034W	-3.00512999253	5.56233164996e-09
YBR150C	YIR027C	3.53071215583	4.54733720762e-28
YIR033W	YIR033W	-2.174325155	1.02931931391e-35
YOR140W	YKR102W	2.33804046646	5.19642319943e-50
YBL103C	YLR304C	-2.05464852409	2.56634796758e-19
YIL036W	YLR367W	-2.18936460639	9.4435025037e-30
YIL036W	YLR339C	-2.52236538919	1.1635806012e-35
YPL075W	YLR339C	-2.24052224528	1.0122469535e-07
YNL216W	YLR339C	-2.42275229775	4.12354870948e-08
YPL049C	YNL146W	-2.16969154924	1.10645967139e-21
YIL084C	YNL146W	-3.40584725817	5.65919889152e-43
YOL004W	YNL146W	-2.48203985717	6.65554588001e-35
YDL042C	YNL146W	-3.27462535589	7.19868912992e-41
YDR363W	YNL146W	2.16528727647	1.94586737348e-08
YOL051W	YNL146W	2.08730050557	3.68550450578e-08
YOR304W	YNL146W	2.11598060053	9.48008986057e-09
YOR363C	YNL146W	2.19120324492	5.09756054789e-09
YOR344C	YNL146W	2.05914143569	1.54157684883e-08
YIL084C	YOL103W.B	-2.83644199222	4.52152706343e-23
YDL042C	YOL103W.B	-3.57709372604	2.080607083e-33
YLR442C	YOL103W.B	-2.11591667618	5.62237118337e-14
YBR083W	YOL103W.B	-2.05940273917	2.59249849924e-13
YPL254W	YOL103W.B	-2.67659371062	1.12983867358e-20
YNL236W	YOL103W.B	-2.54344750512	5.89843917911e-19
YOR290C	YOL103W.B	-4.13364593742	1.45610126888e-40
YBR289W	YOL103W.B	-3.39559553531	2.300223221e-30
YHL025W	YOL103W.B	-3.743719051	3.4340413897e-35
YOL148C	YOL103W.B	-3.44461927873	4.84441586681e-31
YJL176C	YOL103W.B	-4.15182093228	8.19318326207e-41
YCR084C	YOL103W.B	-3.43720496766	1.43633621941e-39
YIL036W	YOL109W	-2.09928070044	1.88311985822e-26
YOR290C	YOL109W	-2.9452285072	1.05089992974e-43
YBR289W	YOL109W	-3.54428984567	1.40733436442e-55
YOR344C	YOR344C	-3.24547509913	2.56814749694e-15
YKL032C	YPR015C	2.03390615486	3.12509209637e-39
YLR176C	YPR015C	2.47652822844	4.07344296816e-51
YNL236W	YBR286W	-3.41713264024	9.85120609862e-34
YHL025W	YBR286W	-2.49796057851	1.86078171758e-20
YIL084C	YCL020W	-2.65368843793	4.56530530897e-22
YDL042C	YCL020W	-3.14023250568	4.40493485334e-29
YJL127C	YCL020W	2.10235701814	7.70957036022e-15
YPL254W	YCL020W	-2.73842859056	5.91961550264e-23
YNL236W	YCL020W	-3.20238898885	1.70724425121e-29
YOR290C	YCL020W	-4.06206957159	7.6589864498e-42
YBR289W	YCL020W	-3.68889428858	1.67342481079e-36
YHL025W	YCL020W	-4.38796224739	1.94135696321e-46
YOL148C	YCL020W	-4.40330820001	1.19253340368e-46
YJL176C	YCL020W	-4.35601781222	5.38458513435e-46
YCR084C	YCL020W	-3.66958008705	1.06389941803e-45
YDL042C	YDR340W	-2.24148008318	1.61947297592e-18
YER161C	YER081W	2.72400313757	2.93835233842e-57
YGR063C	YER081W	2.05523335287	1.49528059636e-39
YLR098C	YER081W	3.58139075203	2.16588553785e-77
YPL254W	YER081W	3.16591202534	1.46383985012e-67
YOR290C	YER081W	3.20132056046	2.03228585204e-68
YOL148C	YER081W	2.33038529832	2.7829289829e-46
YDR392W	YER081W	3.36484668474	6.34327209786e-19
YDR310C	YGL138C	2.56778067824	2.4961205608e-59
YCR084C	YGR243W	2.04999896133	1.45032904962e-61
YNL236W	YGR185C	-2.16861526304	1.17475215375e-23
YPL049C	YIL015W	-2.32698578283	9.96972640258e-50
YIL084C	YIL015W	-3.19917732691	1.54747824866e-72
YOL004W	YIL015W	-2.72805886726	2.15772704146e-73
YDL042C	YIL015W	-3.17826081733	3.0396627636e-72
YIL036W	YIL015W	-2.27587450319	1.23708703875e-47
YOR290C	YIL015W	-2.21462655027	6.02510074182e-46
YHL025W	YIL015W	-2.57251824758	1.03845267714e-55
YOL148C	YIL015W	-3.1397290049	1.78575978632e-70
YJL176C	YIL015W	-2.51763822038	3.06882315503e-54
YCR084C	YIL015W	-2.26491219349	1.79112782095e-58
YHR206W	YIL015W	2.02687289384	1.35320628683e-13
YKL112W	YIL015W	-2.23624833393	1.09181059274e-05
YGL073W	YIL015W	-2.35761033532	6.28562632406e-06
YCR084C	YHR211W	2.49783355878	3.48947846045e-84
YPL075W	YIL051C	-2.91915578458	5.20899051059e-09
YPL254W	YMR251W.A	-2.14631100875	2.06748156361e-29
YOL148C	YMR251W.A	-2.47794913584	1.59137471034e-36
YJL127C	YNL332W	2.28404135184	6.77702732323e-51
YIL036W	YNL302C	-2.12234405986	8.08786320648e-40
YNL216W	YNL302C	-2.6388128076	1.28383408787e-09
YOL004W	YNL336W	-2.51940840536	5.34472563471e-63
YNL216W	YPL079W	-2.75721314866	1.00302575064e-10
YGL073W	YPL111W	2.82497349744	4.8355281626e-09
YNL216W	YPL143W	-2.07062239378	3.30065422789e-08
YJL127C	YBR010W	-2.11221431926	5.63007421899e-30
