X1	X2	sign
YGL162W	YMR011W	0
YGL162W	YMR016C	0
YGL162W	YMR017W	0
YGL162W	YMR135C	0
YGL162W	YMR136W	0
YGL162W	YNL178W	0
YGL162W	YNL180C	0
YGL162W	YNL231C	0
YGL162W	YOR049C	0
YGL162W	YOR107W	0
YGL162W	YOR136W	0
YGL162W	YOR178C	0
YGL162W	YPL024W	0
YGL162W	YPL026C	0
YGL162W	YPL061W	0
YGL162W	YPL156C	0
YGL162W	YPL177C	0
YGL162W	YPL230W	0
YGL162W	YPR006C	0
YGL162W	YPR148C	0
YGL162W	YPR149W	0
YGL181W	YDR223W	NA
YGL181W	YFL011W	NA
YGL181W	YFR039C	NA
YGL181W	YFR040W	NA
YGL181W	YNL167C	NA
YGL181W	YOL041C	NA
YGL237C	YDL170W	0
YGL237C	YDL171C	0
YGL237C	YDR210W	0
YGL237C	YDR377W	0
YGL237C	YDR529C	0
YGL237C	YER174C	0
YGL237C	YFR033C	0
YGL237C	YGL187C	0
YGL237C	YGR019W	0
YGL237C	YGR121C	0
YGL237C	YGR121WA	0
YGL237C	YGR122W	0
YGL237C	YGR233C	0
YGL237C	YGR234W	0
YGL237C	YHR050WA	0
YGL237C	YHR051W	0
YGL237C	YIR029W	0
YGL237C	YIR030C	0
YGL237C	YLL015W	0
YGL237C	YLL018C	0
YGL237C	YLL027W	0
YGL237C	YLR220W	0
YGL237C	YOL077WA	0
YGL237C	YPL018W	0
YGL237C	YPL019C	0
YGL237C	YPL207W	0
YGL237C	YPR144C	0
YGL237C	YPR145W	0
YGR044C	YHL034C	NA
YGR044C	YLR065C	NA
YGR044C	YLR066W	NA
YGR044C	YOR138C	NA
YGR044C	YOR140W	NA
YHL020C	TA(AGC)P	NA
YHL020C	TI(AAU)P2	NA
YHL020C	TP(AGG)C	NA
YHL020C	YCR005C	NA
YHL020C	YKL182W	NA
YHL020C	YPR159W	NA
YHL020C	YPR171W	NA
YHL027W	YLR047C	1
YHL027W	YLR048W	1
YHR084W	TA(AGC)K2	NA
YHR084W	TK(UUU)G2	NA
YHR084W	TK(UUU)P	NA
YHR084W	TQ(UUG)E1	NA
YHR084W	TR(UCU)M1	NA
YHR084W	YAL028W	NA
YHR084W	YAL029C	NA
YHR084W	YAL038W	NA
YHR084W	YAL039C	NA
YHR084W	YAR014C	NA
YHR084W	YAR015W	NA
YHR084W	YBL016W	NA
YHR084W	YBL017C	NA
YHR084W	YBL060W	NA
YHR084W	YBL061C	NA
YHR084W	YBR023C	NA
YHR084W	YBR024W	NA
YHR084W	YBR040W	NA
