A	B	sign
YIL035C	YJL076W	0
YPL042C	YLR327C	0
YDL028C	YJR053W	0
YDL155W	YIL115C	NA
YGR052W	YDR211W	0
YER133W	YLR002C	1
YGL190C	YDL143W	NA
YIR026C	YHR052W	1
YIL045W	YNL189W	NA
YJL187C	YGR238C	0
YPL153C	YOL082W	0
YDR122W	YOL054W	0
YJL095W	YPL093W	0
YDL047W	YDR212W	1
YIR026C	YMR049C	1
YOR061W	YER155C	0
YBL009W	YHR121W	0
YPL031C	YDL127W	0
YJL164C	YOL005C	0
YGL158W	YOL051W	0
YGR052W	YCL030C	0
YPR119W	YIL115C	NA
YPL203W	YPR187W	0
YER133W	YHR052W	1
YER133W	YFR001W	1
YJL095W	YMR229C	0
YNL053W	YKL161C	NA
YIL035C	YMR172W	0
YFR028C	YPR042C	1
YJL095W	YBL004W	0
YDL155W	YMR047C	NA
YJL157C	YJL066C	NA
YOL113W	YPL169C	0
YER133W	YNL061W	1
YCL024W	YCR002C	0
YLL019C	YGL120C	0
YHR099W	YGL066W	NA
YIL035C	YOR039W	0
YFR028C	YKR021W	1
YJL095W	YDL069C	0
YGL158W	YNR023W	0
YOR267C	YMR290C	0
YLR096W	YOR093C	0
YIL045W	YPR160W	NA
YPR106W	YKL104C	0
YMR216C	YLR116W	0
YLR019W	YMR205C	1
YMR139W	YJR029W	0
YNL307C	YNL058C	0
YGL158W	YDR392W	0
YHR082C	YML025C	0
YDL155W	YHR033W	NA
YJL098W	YCR030C	NA
YIL106W	YJL066C	NA
YDR466W	YHR088W	0
YGR052W	YER132C	0
YDR436W	YOR054C	1
YNL207W	YGR280C	0
YBL009W	YGR090W	0
YDL134C	YBR018C	1
YDL028C	YAL034WA	0
YPL204W	YNL027W	0
YMR199W	YJL157C	NA
YHR030C	YPL089C	0
YPL042C	YPR181C	0
YNL307C	YLR208W	0
YJL057C	YDL053C	0
YPL153C	YDR217C	0
YGL158W	YOL148C	0
YBR274W	YBL025W	0
YNL025C	YGL197W	NA
YBR136W	YCR004C	0
YDR436W	YFR003C	1
YIL095W	YNL084C	0
YDL188C	YPL235W	1
YPR106W	YDL053C	0
YHR099W	YPL047W	NA
YPL204W	YBL103C	0
YDR247W	YOL010W	0
YPL203W	YGR186W	0
YCR073C	YBR247C	0
YIL106W	YGL112C	NA
YPL042C	YDL053C	0
YJL095W	YDR087C	0
YBL016W	YJL076W	0
YOL128C	YLR180W	0
YDL028C	YGL093W	0
YOR119C	YDR212W	0
YMR216C	YER120W	0
YDL079C	YJL014W	0
YJR110W	YMR049C	NA
YPL204W	YOR178C	0
YGL158W	YML091C	0
YDR507C	YDL225W	0
YDL108W	YPL235W	0
YJL164C	YIL033C	0
YER133W	YOR227W	1
YGL229C	YHR186C	NA
YER133W	YDR087C	1
YIL095W	YDR424C	0
YBR160W	YLR079W	0
YGL158W	YGL127C	0
YJL106W	YPR115W	0
YHR135C	YPR115W	0
YNL161W	YKL204W	0
YDL028C	YKL042W	0
YHR099W	YGL073W	NA
YGR052W	YNL076W	0
YPR120C	YJL048C	NA
YOR267C	YOR206W	0
YOR267C	YLR196W	0
YOR119C	YJL076W	0
YDL230W	YOL041C	1
YPL140C	YOL123W	0
YFR028C	YCR086W	1
YNL207W	YDR150W	0
YHR076W	YMR079W	1
YPL204W	YIL115C	0
YBR136W	YJL173C	0
YJR110W	YLR002C	NA
YKL166C	YIL033C	0
YGL190C	YMR273C	NA
YFR028C	YLR131C	1
YGL158W	YHL025W	0
YDL230W	YGR032W	1
YPL203W	YHR143WA	0
YDR122W	YGR097W	0
YNL099C	YNL056W	1
YNR032W	YIL142W	1
YPR161C	YLR226W	0
YER133W	YGR156W	1
YOR014W	YBR084W	NA
YIL045W	YLR258W	NA
YER129W	YNL225C	0
YOR061W	YMR172W	0
YHR099W	YPL254W	NA
YBL088C	YLR025W	0
YPL204W	YLR310C	0
YOR267C	YMR049C	0
YBR136W	YLR025W	0
YPL204W	YML091C	0
YER059W	YKL103C	NA
YJL098W	YNL076W	NA
YER133W	YBL050W	1
YDL028C	YGL106W	0
YPL204W	YKR096W	0
YIR026C	YPR115W	1
YGR040W	YPL049C	0
YER133W	YAL014C	1
YNR047W	YOR353C	0
YNL025C	YML006C	NA
YPL204W	YKL062W	0
YJL098W	YDL066W	NA
YJL095W	YFL047W	0
YJL095W	YGL173C	0
YER133W	YPR016C	1
YCR079W	YLR192C	1
YAL017W	YLR258W	0
YJL187C	YJL154C	0
YBL056W	YMR246W	1
YER133W	YLR430W	1
YPR120C	YBR135W	NA
YLR096W	YER033C	0
YPL204W	YMR080C	0
YLR133W	YKR048C	NA
